Timestamp,Species,Confidence
2025-09-25 23:45:17,1,0.73
2025-09-25 23:45:18,6,0.71
2025-09-25 23:45:18,4,0.89
2025-09-25 23:45:26,0,0.85
2025-09-25 23:45:27,1,0.71
2025-09-25 23:45:28,6,0.72
2025-09-25 23:49:28,0,0.70
2025-09-25 23:49:47,0,0.74
2025-09-25 23:49:57,5,0.75
2025-09-25 23:52:16,0,0.72
